eighborhood,ZIP Code,2018 Median Home Price,5-Year Percent Growth (2013-2018),1-Year Percent Growth (2017-2018),Average Days on Market (2018),Average Square Feet,Owner vs Renter Ratio,Median Household Income,Median Age,Percent Enrolled in Public Schools,Average Commute Time,Walkability
1960/Cypress,77065,"$190,000 ",31.90%,3.30%,35.1,"2,192",0.87 : 1,"$54,688.00 ",33.9,94.43%,28.3,36
Aldine Area,77039,"$151,000 ",67.80%,7.10%,34.7,"1,836",1.33 : 1,"$34,608.00 ",28.2,99.52%,30.7,41
Alief,77072,"$170,000 ",54.50%,3.30%,37.7,"1,967",0.80 : 1,"$41,041.00 ",32.7,98.95%,31.2,49
Alvin North,77511,"$270,000 ",58.80%,4.40%,65.5,"2,511",2.06 : 1,"$57,098.00 ",35.4,94.93%,32.1,30
Alvin South,77511,"$189,000 ",50.00%,2.20%,34.3,"1,933",2.06 : 1,"$57,098.00 ",35.4,94.93%,32.1,30
Atascocita North,77346,"$200,000 ",40.40%,0.00%,43.5,"2,474",4.40 : 1,"$98,840.00 ",33.6,91.31%,34.6,21
Atascocita South,77396,"$218,000 ",32.10%,4.80%,45.2,"2,601",1.73 : 1,"$64,195.00 ",31.3,94.59%,31.1,25
Bacliff/San Leon,77518,"$181,800 ",36.20%,3.30%,55,"1,578",1.61 : 1,"$38,843.00 ",32,98.33%,30.6,39
Bayou Vista,77563,"$280,000 ",52.60%,5.70%,49.9,"1,529",2.38 : 1,"$55,652.00 ",39.3,93.03%,29.4,0
Baytown/Chambers County,77521,"$195,000 ",44.40%,7.70%,44.8,"2,100",1.52 : 1,"$62,513.00 ",32.3,93.00%,25.3,32
Baytown/Harris County,77520,"$172,000 ",49.70%,7.50%,40.1,"1,956",1.29 : 1,"$46,311.00 ",32.7,94.73%,24.8,32
Bear Creek,77449,"$181,000 ",50.80%,5.20%,33,"2,019",2.89 : 1,"$72,397.00 ",31.3,96.01%,33.9,5
Bellaire,77401,"$840,929 ",5.20%,-5.60%,68.9,"3,510",4.94 : 1,"$172,205.00 ",43.1,53.67%,24.2,54
Braeswood Place,77025,"$550,000 ",-10.80%,-20.00%,57.9,"3,106",0.70 : 1,"$71,990.00 ",36.3,71.34%,24,55
Brays Oaks,77031,"$199,900 ",26.90%,-2.50%,48.8,"2,091",0.79 : 1,"$44,459.00 ",32.1,97.01%,27.3,38
Briargrove,77057,"$766,000 ",10.40%,-1.20%,52.5,"3,086",0.43 : 1,"$57,093.00 ",34.4,74.23%,22,69
Briargrove Park/Walnut Bend,77042,"$421,000 ",23.90%,-4.20%,45.1,"2,530",0.32 : 1,"$47,297.00 ",31.2,84.04%,25.7,47
Briarmeadow/Tanglewilde,77063,"$327,000 ",39.10%,11.20%,36.6,"2,124",0.34 : 1,"$44,957.00 ",31.9,84.16%,25.1,64
Brookshire,77423,"$202,450 ",4.30%,-25.00%,38.3,"2,124",2.09 : 1,"$52,019.00 ",34.6,96.78%,26.7,0
Chambers County East,77514,"$158,000 ",19.20%,21.50%,66.8,"1,767",N/A,"$38,953.00 ",40.6,97.84%,30,0
Chambers County West,77523,"$279,605 ",27.20%,-0.10%,54.9,"2,412",N/A,"$100,116.00 ",32.6,97.94%,29.6,3
Champions Area,77069,"$232,000 ",25.40%,3.20%,44,"2,870",1.38 : 1,"$64,313.00 ",43.5,79.35%,32.3,32
Charnwood/Briarbend,77063,"$706,473 ",22.90%,10.40%,33.5,"2,803",0.34 : 1,"$44,957.00 ",31.9,84.16%,25.1,59
Clear Lake Area,77062,"$265,000 ",43.20%,8.20%,37.9,"2,558",2.62 : 1,"$88,433.00 ",38.5,94.04%,26.3,34
Cleveland Area,77327,"$162,500 ",98.50%,16.10%,56.3,"1,793",N/A,"$40,636.00 ",35.8,96.72%,38.8,4
Coldspring/South San Jacinto County,77331,"$132,900 ",51.00%,6.70%,63,"1,674",N/A,"$48,398.00 ",51.5,99.58%,38.6,0
Conroe Northeast,77301,"$184,000 ",50.10%,6.90%,44.3,"1,957",0.87 : 1,"$40,795.00 ",31.8,99.10%,27,26
Conroe Southeast,77301,"$200,318 ",38.20%,9.80%,48.6,"2,316",0.87 : 1,"$40,795.00 ",31.8,99.10%,27,26
Conroe Southwest,77304,"$339,480 ",21.20%,5.90%,71.8,"2,903",1.19 : 1,"$60,568.00 ",36,93.20%,27.5,26
Copperfield Area,77095,"$219,700 ",29.20%,4.60%,34.8,"2,474",2.44 : 1,"$92,175.00 ",36.9,94.20%,34.3,14
Cottage Grove,77007,"$400,000 ",25.40%,0.80%,56.3,"2,258",0.81 : 1,"$121,458.00 ",33.8,67.35%,22.4,66
Crosby Area,77532,"$199,000 ",48.50%,4.70%,52.6,"2,048",3.52 : 1,"$62,606.00 ",35.7,97.37%,33.7,1
Crystal Beach,77650,"$271,000 ",12.90%,0.70%,124.7,"1,438",3.85 : 1,"$46,250.00 ",50.5,100.00%,24.2,0
